"section","variable","level","type","overall","early_0_3h","late_3_12h","nonmissing_overall_n","missing_overall_n","missing_overall_pct","smd","abs_smd","p_value"
"Comorbidity","Cirrhosis","Missing","categorical","70 (2.2%)","50 (2.4%)","20 (1.7%)",3155,70,2.17,-0.053,0.053,0.249928153718314
"Comorbidity","Immunosuppression","No","categorical","2967 (92.0%)","1880 (91.9%)","1087 (92.2%)",3155,70,2.17,0.011,0.011,0.336493937726462
"Comorbidity","Immunosuppression","Yes","categorical","188 (5.8%)","116 (5.7%)","72 (6.1%)",3155,70,2.17,0.019,0.019,0.336493937726462
"Comorbidity","Immunosuppression","Missing","categorical","70 (2.2%)","50 (2.4%)","20 (1.7%)",3155,70,2.17,-0.053,0.053,0.336493937726462
"Comorbidity","Hepatic failure","No","categorical","3070 (95.2%)","1941 (94.9%)","1129 (95.8%)",3155,70,2.17,0.042,0.042,0.359490051303307
"Comorbidity","Hepatic failure","Yes","categorical","85 (2.6%)","55 (2.7%)","30 (2.5%)",3155,70,2.17,-0.009,0.009,0.359490051303307
"Comorbidity","Hepatic failure","Missing","categorical","70 (2.2%)","50 (2.4%)","20 (1.7%)",3155,70,2.17,-0.053,0.053,0.359490051303307
"Comorbidity","Metastatic cancer","No","categorical","3041 (94.3%)","1915 (93.6%)","1126 (95.5%)",3155,70,2.17,0.084,0.084,0.0796238883387798
"Comorbidity","Metastatic cancer","Yes","categorical","114 (3.5%)","81 (4.0%)","33 (2.8%)",3155,70,2.17,-0.064,0.064,0.0796238883387798
"Comorbidity","Metastatic cancer","Missing","categorical","70 (2.2%)","50 (2.4%)","20 (1.7%)",3155,70,2.17,-0.053,0.053,0.0796238883387798
