"Model","Contrast","OR (95% CI)","P value","Interpretation"
"Crude logistic","3-12h vs 0-3h","1.08 (0.90-1.29)","0.412","Late arm has higher estimated odds - Not statistically significant"
"Adjusted logistic","3-12h vs 0-3h","1.12 (0.92-1.37)","0.256","Late arm has higher estimated odds - Not statistically significant"
"Adjusted logistic + hospital random intercept","3-12h vs 0-3h","1.11 (0.91-1.36)","0.291","Late arm has higher estimated odds - Not statistically significant"
"Support-expanded sensitivity","3-12h vs 0-3h","1.13 (0.93-1.38)","0.230","Late arm has higher estimated odds - Not statistically significant"
"Rare-comorbidity sensitivity","3-12h vs 0-3h","1.13 (0.93-1.38)","0.218","Late arm has higher estimated odds - Not statistically significant"
