weight_type,n_arm_imp,min_n_clones,min_ess,max_p95,max_p99,max_max,max_pct_gt_2,max_pct_gt_5,max_pct_gt_10
final_ipcw,15,3241,2338.82649285771,2.35228636629422,3.23596636904955,5.96856436642161,0.0759417978871836,0.000597966912497509,0
trunc_p01_p99,15,3241,2388.31146370434,2.35228636629422,3.235620259183,3.235620259183,0.0759417978871836,0,0
trunc_p05_p95,15,3241,2484.78422572446,2.34862499169041,2.34862499169041,2.34862499169041,0.0759417978871836,0,0
