sample,weighting,variable_role,display_label,m,mean_abs_smd,max_abs_smd,n_gt_0_1,n_gt_0_2
adherent_only,ipcw_weighted_adherent,main,Race group: ASIAN,15,0.0132158656647622,0.0198504842228716,0,0
adherent_only,ipcw_weighted_adherent,main,Age,15,0.0128963297846276,0.019526143507709,0,0
adherent_only,ipcw_weighted_adherent,main,Race group: BLACK,15,0.012172099867516,0.018286541907628,0,0
adherent_only,ipcw_weighted_adherent,main,Race group: OTHER,15,0.0109469110471133,0.016431428116957,0,0
adherent_only,ipcw_weighted_adherent,main,Admission type: OBSERVATION,15,0.00517467552022508,0.00777101927071073,0,0
adherent_only,ipcw_weighted_adherent,main,Race group: HISPANIC,15,0.00316361478172251,0.00481054230689588,0,0
adherent_only,unweighted_adherent,auxiliary,Baseline mean BP missing,15,0.0631518473517832,0.0946609136676379,0,0
adherent_only,unweighted_adherent,auxiliary,Baseline mean BP,15,0.0140380623087193,0.0268811776606868,0,0
adherent_only,unweighted_adherent,auxiliary,Baseline mean BP extreme/invalid,15,0.00624480380728406,0.00935709561991696,0,0
adherent_only,unweighted_adherent,main,Admission type: EMERGENCY,15,0.543313413283645,0.825145802454556,15,10
adherent_only,unweighted_adherent,main,Admission type: URGENT,15,0.463383801551119,0.697564604138584,15,15
adherent_only,unweighted_adherent,main,Admission type: ELECTIVE_SURGICAL,15,0.294632994866797,0.436886215554289,15,10
adherent_only,unweighted_adherent,main,Race group: UNKNOWN,15,0.152599002205453,0.228874371296763,10,5
adherent_only,unweighted_adherent,main,Charlson comorbidity index,15,0.122914458873081,0.183104301197131,5,0
adherent_only,unweighted_adherent,main,Age,15,0.11786123451341,0.178068571703883,10,0
adherent_only,unweighted_adherent,main,Baseline SOFA,15,0.116299982999506,0.173928962097958,10,0
adherent_only,unweighted_adherent,main,Race group: BLACK,15,0.0962078805956314,0.144074107168298,5,0
adherent_only,unweighted_adherent,main,Admission type: OBSERVATION,15,0.0762031181285062,0.114222638874956,5,0
adherent_only,unweighted_adherent,main,Race group: WHITE,15,0.0613940049684141,0.0921075124652874,0,0
adherent_only,unweighted_adherent,main,Baseline shock,15,0.0545952359625079,0.081892332850237,0,0
adherent_only,unweighted_adherent,main,Sex: F,15,0.0441482065797899,0.0662254166399576,0,0
adherent_only,unweighted_adherent,main,Sex: M,15,0.0441482065797899,0.0662254166399576,0,0
adherent_only,unweighted_adherent,main,Race group: ASIAN,15,0.0339645757055839,0.0509087768908757,0,0
adherent_only,unweighted_adherent,main,Race group: OTHER,15,0.020329101607139,0.0304874797353201,0,0
adherent_only,unweighted_adherent,main,Baseline SOFA missing,15,0.01862483659091,0.0278317724903346,0,0
adherent_only,unweighted_adherent,main,Race group: HISPANIC,15,0.0167531116963517,0.0251251821188519,0,0
all_clones_sanity,unweighted_all_clones,auxiliary,Baseline mean BP,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,auxiliary,Baseline mean BP missing,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,auxiliary,Baseline mean BP extreme/invalid,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Age,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Charlson comorbidity index,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Baseline SOFA,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Baseline SOFA missing,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Baseline shock,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Sex: F,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Sex: M,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Race group: ASIAN,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Race group: BLACK,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Race group: HISPANIC,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Race group: OTHER,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Race group: UNKNOWN,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Race group: WHITE,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Admission type: ELECTIVE_SURGICAL,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Admission type: EMERGENCY,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Admission type: OBSERVATION,15,0,0,0,0
all_clones_sanity,unweighted_all_clones,main,Admission type: URGENT,15,0,0,0,0
