section,weight_scheme,contrast,m,estimate,robust_se,statistic,df,p_value,conf_low,conf_high,or,or_ci_low,or_ci_high,.imp,variance
pooled,p01_p99,3-6h_vs_0-3h,5,0.211433943170645,0.0642702731975625,3.28976263288489,95363890880.4323,0.00100271931457129,0.0854665224252734,0.337401363916016,1.23544835313216,1.08922509611914,1.40130138269419,,
pooled,p01_p99,6-12h_vs_0-3h,5,0.253135612738278,0.0612785638888301,4.13089988854029,11428499618208,3.61345929872979e-05,0.133031834491821,0.373239390984734,1.28805794205553,1.14228636185793,1.45243199734418,,
pooled,p01_p99,6-12h_vs_3-6h,5,0.0417016695676329,0.0504879534484312,0.825972667127958,18500104815.3919,0.408819596964946,-0.0572529008509011,0.140656239986167,1.04258339799474,0.944355210927649,1.1510289022565,,
pooled,p05_p95,3-6h_vs_0-3h,5,0.206467731310047,0.0629374275410504,3.28052383735227,104210922758.751,0.00103614508715715,0.0831126400485565,0.329822822571538,1.22932806477085,1.08666420356347,1.39072170213894,,
pooled,p05_p95,6-12h_vs_0-3h,5,0.24549146664428,0.0598613686769234,4.10099989476046,5458192037757.63,4.11368747249746e-05,0.12816533997221,0.36281759331635,1.27824937578761,1.13674093587495,1.43737364876703,,
pooled,p05_p95,6-12h_vs_3-6h,5,0.0390237353342329,0.0500041236967441,0.780410343172835,14371170978.4209,0.435149381720876,-0.0589825461981256,0.137030016866591,1.039795163243,0.942723223117866,1.14686257322459,,
per_imp,p01_p99,3-6h_vs_0-3h,,0.211697965119659,0.0642688521949732,,,,,,1.23577458167811,,,1,0.00413048536245931
per_imp,p01_p99,6-12h_vs_0-3h,,0.25309584952371,0.0612769172999123,,,,,,1.28800672574947,,,1,0.00375486059378028
per_imp,p01_p99,6-12h_vs_3-6h,,0.0413978844040513,0.0504840404901214,,,,,,1.04226672472939,,,1,0.00254863834420822
per_imp,p01_p99,3-6h_vs_0-3h,,0.211349440283625,0.0642703529157629,,,,,,1.23534395859044,,,2,0.00413067826391672
per_imp,p01_p99,6-12h_vs_0-3h,,0.253182955791901,0.0612791862792879,,,,,,1.28811892409528,,,2,0.00375513867105166
per_imp,p01_p99,6-12h_vs_3-6h,,0.0418335155082757,0.0504892472107528,,,,,,1.04272086744574,,,2,0.00254916408390851
per_imp,p01_p99,3-6h_vs_0-3h,,0.211393053981507,0.064270407848379,,,,,,1.23539783768355,,,3,0.00413068532499698
per_imp,p01_p99,6-12h_vs_0-3h,,0.25317100078646,0.0612793377121894,,,,,,1.28810352471858,,,3,0.00375515723044456
per_imp,p01_p99,6-12h_vs_3-6h,,0.0417779468049535,0.0504892267323497,,,,,,1.04266292640908,,,3,0.00254916201603062
per_imp,p01_p99,3-6h_vs_0-3h,,0.211387479714936,0.0642699378993472,,,,,,1.23539095126588,,,4,0.00413062491758595
per_imp,p01_p99,6-12h_vs_0-3h,,0.25308760338622,0.0612789016426124,,,,,,1.28799610471272,,,4,0.00375510378652496
per_imp,p01_p99,6-12h_vs_3-6h,,0.0417001236712847,0.0504881456391503,,,,,,1.04258178627012,,,4,0.00254905285008005
per_imp,p01_p99,3-6h_vs_0-3h,,0.211341776753496,0.0642707745002035,,,,,,1.23533449153107,,,5,0.00413073245485601
per_imp,p01_p99,6-12h_vs_0-3h,,0.253140654203096,0.0612783858462871,,,,,,1.2880644357707,,,5,0.00375504057192644
per_imp,p01_p99,6-12h_vs_3-6h,,0.0417988774495992,0.0504872510114412,,,,,,1.04268475024467,,,5,0.00254896251469227
per_imp,p05_p95,3-6h_vs_0-3h,,0.206719334953914,0.0629329767168611,,,,,,1.22963740710565,,,1,0.00396055955844498
per_imp,p05_p95,6-12h_vs_0-3h,,0.245419960421845,0.0598593216692663,,,,,,1.27815797627127,,,1,0.00358313839070469
per_imp,p05_p95,6-12h_vs_3-6h,,0.0387006254679304,0.0499984332412635,,,,,,1.03945924943828,,,1,0.00249984332658109
per_imp,p05_p95,3-6h_vs_0-3h,,0.206381665944177,0.0629375810702993,,,,,,1.22922226675402,,,2,0.0039611391109805
per_imp,p05_p95,6-12h_vs_0-3h,,0.245539818079008,0.0598608495599591,,,,,,1.27831118247308,,,2,0.00358332131004005
per_imp,p05_p95,6-12h_vs_3-6h,,0.0391581521348308,0.0500059580552951,,,,,,1.03993493857599,,,2,0.00250059584102794
per_imp,p05_p95,3-6h_vs_0-3h,,0.206432699473811,0.0629380764622753,,,,,,1.22928499990573,,,3,0.00396120146877121
per_imp,p05_p95,6-12h_vs_0-3h,,0.245532855326963,0.0598621515967617,,,,,,1.27830228194027,,,3,0.00358347719379368
per_imp,p05_p95,6-12h_vs_3-6h,,0.039100155853152,0.0500054139403058,,,,,,1.03987462796527,,,3,0.00250054142334132
per_imp,p05_p95,3-6h_vs_0-3h,,0.206428442746808,0.0629388936866923,,,,,,1.22927976718622,,,4,0.00396130433850476
per_imp,p05_p95,6-12h_vs_0-3h,,0.245461194612823,0.0598627753268237,,,,,,1.27821068116798,,,4,0.00358355186982978
per_imp,p05_p95,6-12h_vs_3-6h,,0.0390327518660155,0.0500037793443274,,,,,,1.0398045386314,,,4,0.00250037794871619
per_imp,p05_p95,3-6h_vs_0-3h,,0.206376513431526,0.0629386347641812,,,,,,1.22921593318706,,,5,0.003961271745979
per_imp,p05_p95,6-12h_vs_0-3h,,0.245503504780762,0.059861617059677,,,,,,1.27826476362068,,,5,0.00358341319699941
per_imp,p05_p95,6-12h_vs_3-6h,,0.0391269913492359,0.0500049479265764,,,,,,1.03990253389121,,,5,0.00250049481713962
