section,arm,m,cumulative_risk_30d,risk_min,risk_max,risk_difference_vs_0_3h,risk_ratio_vs_0_3h,survival_30d,.imp
summary,0-3h,5,0.177764538096571,0.177757934030156,0.177769861494605,0,1,,
summary,3-6h,5,0.212274659151478,0.212259289144148,0.212313113796794,0.0345101210549064,1.19413389100973,,
summary,6-12h,5,0.21993550134891,0.219922751345746,0.219943545583531,0.0421709632523392,1.23722933565432,,
per_imp,0-3h,,0.177757934030156,,,0,1,0.822242065969844,1
per_imp,3-6h,,0.212313113796794,,,0.0345551797666387,1.19439458472091,0.787686886203206,1
per_imp,6-12h,,0.219922751345746,,,0.0421648173155901,1.23720357431943,0.780077248654254,1
per_imp,0-3h,,0.177764337635796,,,0,1,0.822235662364204,2
per_imp,3-6h,,0.212259542715113,,,0.0344952050793166,1.19405019892117,0.787740457284887,2
per_imp,6-12h,,0.219943545583531,,,0.0421792079477351,1.23727598295982,0.780056454416469,2
per_imp,0-3h,,0.177764995114284,,,0,1,0.822235004885716,3
per_imp,3-6h,,0.212267930326901,,,0.0345029352126164,1.19409296633701,0.787732069673099,3
per_imp,6-12h,,0.219941852585449,,,0.0421768574711643,1.23726188299361,0.780058147414552,3
per_imp,0-3h,,0.177769861494605,,,0,1,0.822230138505395,4
per_imp,3-6h,,0.212273419774433,,,0.0345035582798273,1.19409115802723,0.787726580225568,4
per_imp,6-12h,,0.219932289148808,,,0.0421624276542026,1.23717421670761,0.780067710851192,4
per_imp,0-3h,,0.177765562208015,,,0,1,0.822234437791985,5
per_imp,3-6h,,0.212259289144148,,,0.0344937269361329,1.19404054704234,0.787740710855852,5
per_imp,6-12h,,0.219937068081019,,,0.0421715058730039,1.23723102129116,0.780062931918981,5
