analysis_id,subgroup,arm,n,mean_weight,sd_weight,max_weight,gt10,gt20,gt50,ess,ess_pct,events,weighted_events,arm_id
A1_t0_post_icu,t0>=ICU,0-3h,2688,0.995867252941826,0.327657909868372,2.49663229519931,0,0,0,2425.43979183883,90.2321351130516,491,499.741610453048,
A1_t0_post_icu,t0>=ICU,3-6h,923,0.990965205618454,0.222260096334015,1.8371482205544,0,0,0,878.7928323487,95.2104910453629,186,190.228673015067,
A1_t0_post_icu,t0>=ICU,6-12h,686,1.08172718552592,0.400437491509624,5.22726988568084,0,0,0,603.323142662729,87.9479799799897,138,155.531747938115,
A2s_shock_0,shock=0,0-3h,2907,0.962057220009036,0.606375171991141,4.30233100523691,0,0,0,2080.49199485569,71.5683520762192,492,482.566085696934,
A2s_shock_0,shock=0,3-6h,2640,0.967305064483156,0.263213407071878,2.17056461531629,0,0,0,2458.00016350979,93.1060667996133,563,533.782138713954,
A2s_shock_0,shock=0,6-12h,4099,0.994996542417227,0.450103552958742,3.67634779379532,0,0,0,3402.68801485338,83.0126375909583,927,870.63805753134,
A2s_shock_1,shock=1,0-3h,532,0.921708829382762,1.15217635418712,5.65330567937269,0,0,0,207.600896533359,39.0227249122856,151,112.803596451479,
A2s_shock_1,shock=1,3-6h,601,0.952431742264997,0.308413909546486,2.78120980725398,0,0,0,543.961469321434,90.5093958937494,170,153.421606608072,
A2s_shock_1,shock=1,6-12h,918,1.09274995382304,1.20807160271641,12.1466864609344,35,0,0,413.103357504795,45.0003657412631,259,247.55798216019,
A2f_sofa_low_lt6,SOFA<6,0-3h,2894.6,0.94427616135781,0.639852144655892,4.62930162150906,0,0,0,1983.74815265495,68.5327213658174,465,464.447301951744,
A2f_sofa_low_lt6,SOFA<6,3-6h,2906.6,0.961591175094287,0.276766742035829,2.09744126881116,0,0,0,2684.23454180581,92.3496367510429,620,569.023023412125,
A2f_sofa_low_lt6,SOFA<6,6-12h,4521.2,1.01444148994983,0.521846019000234,4.54079633291487,0,0,0,3575.13118829395,79.0748294323178,1021.8,966.606837332957,
A2f_sofa_high_ge6,SOFA>=6,0-3h,544.4,0.952962696915341,0.741969660308556,4.58393867200564,0,0,0,338.935277356075,62.2585006164723,178,141.458400664533,
A2f_sofa_high_ge6,SOFA>=6,3-6h,334.4,1.00607217523191,0.372319137300626,2.56774068718808,0,0,0,294.119385010382,87.9543615461668,113,105.687359727376,
A2f_sofa_high_ge6,SOFA>=6,6-12h,495.8,1.04721694994191,0.889913024287067,8.39906034012945,0,0,0,287.897505045141,58.0672660437961,164.2,161.632604794684,
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,0-2h,2545,0.94138483036661,0.696230756895558,5.166348046637,0,0,0,1645.36868251185,64.651028782391,447,443.310525898063,1
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,2-6h,4135,0.957991760532834,0.307797402351481,2.94345046578414,0,0,0,3748.16964131122,90.6449731876957,929,836.205213489726,2
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,6-12h,5017,1.01914634773606,0.562530303427411,5.96856436642161,0,0,0,3845.61849229438,76.6517538826865,1186,1139.98301774711,3
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,0-4h,4446,0.956115811288999,0.575654464832573,3.78716055467761,0,0,0,3263.32505260694,73.3991239902595,873,806.261979472567,1
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,4-8h,4513,0.977014842380314,0.404236617644981,3.56261842276625,0,0,0,3853.48274726142,85.3862784680128,1057,989.923775044073,2
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,8-12h,2738,1.15069651489793,1.03179079041824,18.2510723987728,30,0,0,1517.97924345313,55.441170323343,632,744.295151474691,3
