analysis_id,subgroup,contrast,or,or_ci_low,or_ci_high,p_value,estimate,robust_se
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,2-6h_vs_0-2h,1.17641252283212,1.02027402835145,1.35644580320485,0.0253371219205676,0.162469572687051,0.0726535422838267
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,6-12h_vs_0-2h,1.26546633479832,1.09800266111934,1.45847100486566,0.00115049554575805,0.235440698356281,0.0724237449185741
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,6-12h_vs_2-6h,1.07569947636379,0.979207915309359,1.18169935654959,0.128063608683274,0.0729711256692294,0.0479510900306959
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,4-8h_vs_0-4h,1.23723994918526,1.11149674234303,1.37720843754621,9.89786943471457e-05,0.21288305130525,0.0546823965121221
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,8-12h_vs_0-4h,1.29248582289101,1.12980876518063,1.47858615887722,0.000185320832755995,0.256567358590587,0.0686333910058872
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,8-12h_vs_4-8h,1.04465251363903,0.923083703602526,1.18223176294125,0.488908610763278,0.0436843072853364,0.0631234401566889
