analysis_id,subgroup,arm,arm_id,n,mean_weight,sd_weight,max_weight,gt10,gt20,gt50,ess,ess_pct,events,weighted_events
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,0-2h,1,2545,0.94138483036661,0.696230756895558,5.166348046637,0,0,0,1645.36868251185,64.651028782391,447,443.310525898063
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,2-6h,2,4135,0.957991760532834,0.307797402351481,2.94345046578414,0,0,0,3748.16964131122,90.6449731876957,929,836.205213489726
A3_cut_0_2_6_12,alternative cutpoints 0-2/2-6/6-12,6-12h,3,5017,1.01914634773606,0.562530303427411,5.96856436642161,0,0,0,3845.61849229438,76.6517538826865,1186,1139.98301774711
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,0-4h,1,4446,0.956115811288999,0.575654464832573,3.78716055467761,0,0,0,3263.32505260694,73.3991239902595,873,806.261979472567
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,4-8h,2,4513,0.977014842380314,0.404236617644981,3.56261842276625,0,0,0,3853.48274726142,85.3862784680128,1057,989.923775044073
A3_cut_0_4_8_12,alternative cutpoints 0-4/4-8/8-12,8-12h,3,2738,1.15069651489793,1.03179079041824,18.2510723987728,30,0,0,1517.97924345313,55.441170323343,632,744.295151474691
